external_id,name,url,image_url,category,subcategory,brand,price,available,availability_text,voltage,width_cm,installation_type,product_type,environment,premium_level
mock-001,Cooktop premium compativel,https://www.kouzinaclub.com.br/,,Cozinha,Cooktops,Elettromec,9990.00,true,Disponivel para simulacao,220V,90,Embutir,Cooktop,Cozinha Gourmet,Premium
mock-002,Forno de embutir recomendado,https://www.kouzinaclub.com.br/,,Cozinha,Fornos,Elettromec,8490.00,true,Disponivel para simulacao,220V,60,Embutir,Forno,Cozinha Planejada,Premium
mock-003,Adega climatizada compacta,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Adegas,Crissair,6990.00,true,Disponivel para simulacao,220V,45,Piso,Adega,Espaco Gourmet,Premium
mock-004,Coifa de ilha premium demo 90cm,https://www.kouzinaclub.com.br/,,Cozinha,Coifas,Elettromec,10990.00,true,Disponivel para simulacao,220V,90,Ilha,Coifa,Cozinha Gourmet,Premium
mock-005,Coifa de parede gourmet demo 90cm,https://www.kouzinaclub.com.br/,,Cozinha,Coifas,LineaPro,7990.00,true,Disponivel para simulacao,220V,90,Parede,Coifa,Cozinha Gourmet,Intermediario
mock-006,Cooktop cinco queimadores demo inox,https://www.kouzinaclub.com.br/,,Cozinha,Cooktops,LineaPro,8990.00,true,Disponivel para simulacao,220V,75,Embutir,Cooktop,Cozinha Gourmet,Premium
mock-007,Cooktop domino inducao demo,https://www.kouzinaclub.com.br/,,Cozinha,Cooktops,GourmetLab,4290.00,true,Disponivel para simulacao,220V,30,Embutir,Cooktop,Cozinha Planejada,Intermediario
mock-008,Domino grill gourmet demo 30cm,https://www.kouzinaclub.com.br/,,Cozinha,Dominos,GourmetLab,7290.00,true,Disponivel para simulacao,220V,30,Embutir,Domino,Cozinha Gourmet,Premium
mock-009,Forno combinado premium demo 60cm,https://www.kouzinaclub.com.br/,,Cozinha,Fornos,Elettromec,10490.00,true,Disponivel para simulacao,220V,60,Embutir,Forno,Cozinha Gourmet,Premium
mock-010,Forno compacto demo 45cm,https://www.kouzinaclub.com.br/,,Cozinha,Fornos,BravaHome,5890.00,true,Disponivel para simulacao,110V,45,Embutir,Forno,Cozinha Planejada,Intermediario
mock-011,Adega dual zone demo 46 garrafas,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Adegas,Crissair,11990.00,true,Disponivel para simulacao,220V,60,Embutir,Adega,Espaco Gourmet,Premium
mock-012,Adega slim demo 24 garrafas,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Adegas,PrimeHaus,5490.00,true,Disponivel para simulacao,110V,45,Piso,Adega,Espaco Gourmet,Intermediario
mock-013,Cervejeira gourmet demo 135 litros,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Cervejeiras,PrimeHaus,6290.00,true,Disponivel para simulacao,220V,60,Piso,Cervejeira,Espaco Gourmet,Intermediario
mock-014,Cervejeira premium demo embutir,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Cervejeiras,Crissair,8990.00,true,Disponivel para simulacao,220V,60,Embutir,Cervejeira,Espaco Gourmet,Premium
