baseline,user_id,precision_at_k,recall_at_k,ndcg_at_k,diversity_at_k,recommended_items,relevant_items
popularity,AE227LUUVV5HKNZN6DFDFGJNXWNQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B08FDCZRQX
content_category,AE227LUUVV5HKNZN6DFDFGJNXWNQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B08FDCZRQX
popularity,AE22E65NKEQE26SBAA5HESOYYCMQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B072YSRC6F
content_category,AE22E65NKEQE26SBAA5HESOYYCMQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B072YSRC6F
popularity,AE22KM5Z4YHHHFKP5GJUG7TOH7JQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07CT53VJ6
content_category,AE22KM5Z4YHHHFKP5GJUG7TOH7JQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07CT53VJ6
popularity,AE23C4L3EODTQLTZ5EAXDAABJA4Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00545AZ9W
content_category,AE23C4L3EODTQLTZ5EAXDAABJA4Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00545AZ9W
popularity,AE246N4VJWMUVEVZ5FYWJHENGPLQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0CGWX7YTK
content_category,AE246N4VJWMUVEVZ5FYWJHENGPLQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0CGWX7YTK
popularity,AE25LCLDSNLQGKERWUQPT2QD2N6Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BPY7RTZ7
content_category,AE25LCLDSNLQGKERWUQPT2QD2N6Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BPY7RTZ7
popularity,AE264BNQA2YSJDVQR3POKTSKILQA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00023RVR0
content_category,AE264BNQA2YSJDVQR3POKTSKILQA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00023RVR0
popularity,AE27WQWQY6ZIJPFSWXMBDVHKXVVA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07WWZ2H94
content_category,AE27WQWQY6ZIJPFSWXMBDVHKXVVA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07WWZ2H94
popularity,AE2A4WEY6NSE4YENUH52R6KS7BKQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00DM8KZBQ
content_category,AE2A4WEY6NSE4YENUH52R6KS7BKQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00DM8KZBQ
popularity,AE2A6QYWEZGRYQFGNJ7JWHJNBYYA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B098W5ND23
content_category,AE2A6QYWEZGRYQFGNJ7JWHJNBYYA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B098W5ND23
popularity,AE2ADVYKSEIEYUGXEP4PY3RI4XEQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0053Y3A4G
content_category,AE2ADVYKSEIEYUGXEP4PY3RI4XEQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0053Y3A4G
